AWS Mainframe Modernization,Amazon Mainframe Modernization
Amazon Lake Formation,Amazon Lake Formation
Amazon Nimble Studio,Amazon Nimble Studio
AWS IQ,Amazon IQ
AWS Network Firewall,Amazon Network Firewall
Amazon Managed Streaming for Apache Kafka (Amazon MSK),Amazon Managed Streaming for Apache Kafka (Amazon MSK)
Elastic Load Balancing (ELB),Elastic Load Balancing (ELB)
Amazon FreeRTOS,Amazon FreeRTOS
Amazon IoT Events,Amazon IoT Events
AWS Backup,Amazon Backup
Amazon Braket,Amazon Braket
Amazon Polly,Amazon Polly
AWS Control Tower,Amazon Control Tower
Amazon API Gateway,Amazon API Gateway
Amazon Web Services Marketplace,Amazon Web Services Marketplace
Amazon WorkSpaces Thin Client,Amazon WorkSpaces Thin Client
Amazon Redshift,Amazon Redshift
CloudEndure Disaster Recovery,CloudEndure Disaster Recovery
AWS Launch Wizard,Amazon Launch Wizard
AWS X-Ray,Amazon X-Ray
Amazon Kinesis Video Streams,Amazon Kinesis Video Streams
Amazon Network Firewall,Amazon Network Firewall
Amazon Cloud Map,Amazon Cloud Map
Amazon IoT Greengrass,Amazon IoT Greengrass
AWS Outposts,Amazon Outposts
AWS Resilience Hub,Amazon Resilience Hub
Amazon IAM Identity Center,Amazon IAM Identity Center
AWS Lake Formation,Amazon Lake Formation
Amazon Elastic Kubernetes Service (EKS),Amazon Elastic Kubernetes Service (EKS)
AWS Cost Explorer,Amazon Cost Explorer
Amazon Textract,Amazon Textract
Amazon IoT Device Defender,Amazon IoT Device Defender
AWS Compute Optimizer,Amazon Compute Optimizer
AWS CloudShell,Amazon CloudShell
AWS Secrets Manager,Amazon Secrets Manager
AWS IoT Device Management,Amazon IoT Device Management
AWS Lambda,Amazon Lambda
Amazon Elastic Beanstalk,Amazon Elastic Beanstalk
Amazon Bedrock,Amazon Bedrock
Amazon Timestream,Amazon Timestream
AWS Elastic Disaster Recovery (DRS),Amazon Elastic Disaster Recovery (DRS)
AWS Managed Services,Amazon Managed Services
Amazon Simple Workflow Service (SWF),Amazon Simple Workflow Service (SWF)
Amazon Data Firehose,Amazon Data Firehose
AWS Budgets,Amazon Budgets
Amazon WorkDocs,Amazon WorkDocs
Amazon WAF,Amazon WAF
AWS Serverless Application Repository,Amazon Serverless Application Repository
Amazon Snow Family,Amazon Snow Family
AWS CodeDeploy,Amazon CodeDeploy
Amazon Security Lake,Amazon Security Lake
Amazon Elastic Inference,Amazon Elastic Inference
Amazon Cost Explorer,Amazon Cost Explorer
AWS Application Migration Service (MGN),Amazon Application Migration Service (MGN)
Amazon OpenSearch Service (successor to Amazon Elasticsearch Service),Amazon OpenSearch Service (successor to Amazon Elasticsearch Service)
Amazon Lex,Amazon Lex
Amazon Web Services Support,Amazon Web Services Support
Amazon Transcribe,Amazon Transcribe
AWS CodeArtifact,Amazon CodeArtifact
AWS SimSpace Weaver,Amazon SimSpace Weaver
Amazon Systems Manager,Amazon Systems Manager
Amazon MemoryDB for Redis,Amazon MemoryDB for Redis
Amazon Aurora - PostgreSQL-compatible,Amazon Aurora - PostgreSQL-compatible
Amazon CodeBuild,Amazon CodeBuild
